P.of.T,SUBJ,NUMB,SECT,CRN,TITLE,NOTES,HRS,ENRLD,MAXENRL,TIMES,DAYS,LOCATION,INSTRUCTOR,CAMPUS
1,CHEM,1212L,52,50394,PRIN OF CHEM LAB II,- $40 or under req txtbks cost,1,24,24,03:00-05:50,R,0235 ACADEMIC CLASSROOM BUILDI,"el-Naim, Naaifa",Main Campus
1,CHEM,1212L,53,50041,PRIN OF CHEM LAB II,- $40 or under req txtbks cost,1,23,24,03:00-05:50,T,0235 ACADEMIC CLASSROOM BUILDI,"Xiong, Joseph",Main Campus
1,CHEM,2221,1,50043,PRIN ORGANIC CHEMISTRY I,,3,32,24,09:30-10:45,T R,0212 ACADEMIC CLASSROOM BUILDI,"Eberle, Zaeem",Main Campus
1,CHEM,2221L,52,50458,PRIN ORGANIC CHEM LAB,,1,26,24,06:00-08:50,T,0340 ACADEMIC CLASSROOM BUILDI,"el-Sesay, Shaamila",Main Campus
1,CHEM,2222,1,50045,PRIN ORGANIC CHEMISTRY II,,3,46,24,02:00-03:15,T R,0212 ACADEMIC CLASSROOM BUILDI,"Eberle, Zaeem",Main Campus
1,CHEM,2222L,51,50047,PRIN ORGANIC CHEM II LAB,,1,11,24,11:00-02:50,W,0337 ACADEMIC CLASSROOM BUILDI,"Eberle, Zaeem",Main Campus
1,CHEM,2222L,52,50048,PRIN ORGANIC CHEM II LAB,,1,29,24,03:00-05:50,W,0340 ACADEMIC CLASSROOM BUILDI,"Eberle, Zaeem",Main Campus
1,CHEM,3250,1,50049,PRIN BIOCHEMISTRY,,3,20,30,12:30-01:45,T R,0212 ACADEMIC CLASSROOM BUILDI,"Eberle, Zaeem",Main Campus
1,CHEM,3250L,51,50050,PRIN BIOCHEM LAB,,1,21,30,03:30-06:20,T,0337 ACADEMIC CLASSROOM BUILDI,"Eberle, Zaeem",Main Campus
1,CHEM,3342K,1,47317,CHEMICAL INSTRUMENTATION,,4,8,16,01:00-01:50,M W F,0321 ACADEMIC CLASSROOM BUILDI,"Xiong, Joseph",Main Campus
1,CHEM,3342L,51,47444,CHEMICAL INSTRUMENTATION LAB,,0,8,16,03:00-05:50,W,0342 ACADEMIC CLASSROOM BUILDI,"Xiong, Joseph",Main Campus
1,CHEM,4210,1,50384,SEMINAR,,1,10,12,07:00-07:50,R,0321 ACADEMIC CLASSROOM BUILDI,"Xiong, Joseph",Main Campus
1,CHEM,4332K,1,47610,PHYSICAL CHEMISTRY II,,4,1,12,10:00-10:50,M W F,0223 ACADEMIC CLASSROOM BUILDI,"el-Naim, Naaifa",Main Campus
1,CHEM,4332L,51,50397,PHYSICAL CHEMISTRY II LAB,,0,1,12,06:00-08:50,F,0342 ACADEMIC CLASSROOM BUILDI,"el-Naim, Naaifa",Main Campus
1,CHEM,4350,1,50383,POLYMER CHEMISTRY,,2,3,12,09:00-09:50,M W,0321 ACADEMIC CLASSROOM BUILDI,"Eberle, Zaeem",Main Campus
1,COMM,1110,1,50007,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,29,25,09:30-10:45,T R,0204 MILLER HALL,"Brant, Jay",Main Campus
1,COMM,1110,2,49324,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,30,25,02:00-03:15,T R,0204 MILLER HALL,"Brant, Jay",Main Campus
1,COMM,1110,3,49325,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,35,25,11:00-11:50,M W F,0202 MILLER HALL,"Montoya, Moriah",Main Campus
1,COMM,1110,5,50433,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,30,25,01:00-01:50,M W F,0207 MILLER HALL,"Montoya, Moriah",Main Campus
1,COMM,1110,6,49944,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,29,25,03:00-03:50,M W F,0202 MILLER HALL,"Montoya, Moriah",Main Campus
1,COMM,1110,W1,47290,PUBLIC SPEAKING,,3,37,25,,,,"Montoya, Moriah",On-Line
1,COMM,1110,W2,48631,PUBLIC SPEAKING,,3,37,25,,,,"Brant, Jay",On-Line
1,COMM,1110,W3,50009,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,36,25,,,,"Montoya, Moriah",On-Line
1,COMM,1110,W4,50010,PUBLIC SPEAKING,- No-cost:$0 required txtbk cost,3,37,25,,,,"Montoya, Moriah",On-Line
1,COUN,5433,W2,50188,SUB ABUSE & ADDICTIONS COUNSEL,,3,5,15,,,WEB/ D2L ONLINE,"Riley, Jorge",On-Line
1,COUN,5433,WH1,50184,SUB ABUSE & ADDICTIONS COUNSEL,,3,5,15,06:30-09:00,R,WEB/ D2L ONLINE,"Riley, Jorge",FVSU-Warner Robins Campus
1,COUN,5443,WH,49584,CAREER & LIFE STYLE DEVELOPMEN,,3,2,15,06:00-09:00,M,0138 FVSU - Warner Robins Si,"Riley, Jorge",FVSU-Warner Robins Campus
1,COUN,5553,W1,49572,MULTICULTURAL COUNSELING,,3,13,15,,,WEB/ D2L ONLINE,"Piechowski, Kathryn",On-Line
1,COUN,5553,W2,49859,MULTICULTURAL COUNSELING,,3,7,15,,,WEB/ D2L ONLINE,"Reffel, Danielle",On-Line
1,COUN,5553,WH,50216,MULTICULTURAL COUNSELING,,3,4,15,06:00-09:00,R,0151 FVSU - Warner Robins Si,"Lovato, Francisco",FVSU-Warner Robins Campus
1,COUN,5633,70,49585,GROUP THEORY & PROCESS,,3,10,15,06:00-09:00,T,0138 FVSU - Warner Robins Si,"Riley, Jorge",FVSU-Warner Robins Campus
1,COUN,5633,W1,48408,GROUP THEORY & PROCESS,,3,15,15,,,WEB/ D2L ONLINE,"Piechowski, Kathryn",On-Line
1,COUN,5633,W2,49882,GROUP THEORY & PROCESS,,3,13,15,,,WEB/ D2L ONLINE,"Piechowski, Kathryn",On-Line
1,COUN,5643,W1,49571,FAMILY COUNSELING & GUIDANCE,,3,14,15,,,WEB/ D2L ONLINE,"Lovan, Timothy",On-Line
1,COUN,5650,70,49603,COUNSEL SKILLS & TECHNIQUES,,3,8,15,06:00-09:00,R,0150 FVSU - Warner Robins Si,"el-Ahmad, Fahmi",FVSU-Warner Robins Campus
1,COUN,5650,W1,50217,COUNSEL SKILLS & TECHNIQUES,,3,13,15,,,WEB/ D2L ONLINE,"Schmalz, Taylor",On-Line
1,COUN,5733,W1,49570,PSYCHOLOGICAL TESTING & EVAL,,3,16,16,,,WEB/ D2L ONLINE,"Reffel, Danielle",On-Line
1,COUN,5733,W2,50464,PSYCHOLOGICAL TESTING & EVAL,,3,10,15,,,WEB/ D2L ONLINE,"Reffel, Danielle",On-Line
1,COUN,5734,70,48951,CLINICAL DIAG &TREATMENT PLAN,,3,13,15,06:00-09:00,W,0151 FVSU - Warner Robins Si,"Lovato, Francisco",FVSU-Warner Robins Campus
1,COUN,5734,W1,49152,CLINICAL DIAG &TREATMENT PLAN,,3,10,15,,,,"Werkele, Leilani",On-Line
1,COUN,5734,W2,50186,CLINICAL DIAG &TREATMENT PLAN,,3,9,15,,,WEB/ D2L ONLINE,"Werkele, Leilani",On-Line
1,COUN,5743,WH,49590,CRISIS COUNSELING,,3,6,15,06:00-09:00,T,0151 FVSU - Warner Robins Si,"Lovato, Francisco",FVSU-Warner Robins Campus
1,CRJU,2000,1,47638,INTRO CRIMINAL JUSTICE,,3,29,40,10:00-10:50,M W F,0216 BOND ACADEMIC BLDG,"Prosser, Camille",Main Campus
1,CRJU,2000,W1,49321,INTRO CRIMINAL JUSTICE,- No-cost:$0 required txtbk cost,3,42,40,,,,"Ehlers, Marnita",On-Line
1,CRJU,2001,W1,49320,REPORT WRITING,,3,26,40,,,,"Lopez, Zhiyuan",On-Line
1,CRJU,2010,W1,49821,C J ETHICS,,3,22,40,,,,"Prosser, Camille",On-Line
1,CRJU,2100,W1,48611,INTRO TO CORRECTIONS,,3,24,40,,,,"Cave, Michelle",On-Line
1,CRJU,3003,W1,50438,JUV. JUS. SYS.,,3,34,40,,,,"Nossem, Kayla",On-Line
1,CRJU,3004,1,47407,THEORIES,,3,6,40,12:30-01:45,T R,0216 BOND ACADEMIC BLDG,"Lopez, Zhiyuan",Main Campus
1,CRJU,3004,W1,48834,THEORIES,,3,8,40,,,,"Nossem, Kayla",On-Line
1,CRJU,3005,W1,49057,COMM. POLICE,,3,12,40,,,,"Prosser, Camille",On-Line
1,CRJU,3010,W1,49054,CRIMINAL LAW,,3,22,40,,,,"Lopez, Zhiyuan",On-Line
1,CRJU,3016,1,49895,FORENSICS I,,3,22,40,09:30-10:45,T R,0222 BOND ACADEMIC BLDG,"Hickey, Jordan",Main Campus
1,CRJU,3030,1,50081,EVIDENCE,,3,12,40,12:30-01:45,T R,0122 BOND ACADEMIC BLDG,"Hickey, Jordan",Main Campus
1,CRJU,3050,W1,50082,POLICE ADMINISTRATION,,3,19,40,,,,"Hickey, Jordan",On-Line
1,CRJU,3060,W1,49333,RESEARCH METHODS,,3,5,40,,,,"Nossem, Kayla",On-Line
1,CRJU,3101,W1,48833,MINORITIES,,3,10,40,,,,"Hickey, Jordan",On-Line
1,CRJU,3105,1,48608,ALT. TO INCARCERATION,,3,7,40,02:00-03:15,T R,0222 BOND ACADEMIC BLDG,"Lopez, Zhiyuan",Main Campus
1,CRJU,4080,W1,48363,PRACTICUM,,6,21,25,,,,"Nossem, Kayla",On-Line
1,CSCI,1153,1,47337,INTRO TO COMPUTERS,,3,35,30,09:30-10:45,T R,0320 COMPUTER TECHNOLOGY/MATHE,"Garcia, Fidel",Main Campus
1,CSCI,1153,2,50181,INTRO TO COMPUTERS,,3,31,30,05:00-06:15,T R,0320 COMPUTER TECHNOLOGY/MATHE,"John, Brittany",Main Campus
1,CSCI,1153,W1,47518,INTRO TO COMPUTERS,,3,34,35,,,ONLI WEB/ D2L ONLINE,"Thach, Caleb",On-Line
1,CSCI,1153,W2,47393,INTRO TO COMPUTERS,,3,37,35,,,,"Steele, Kendra",On-Line
1,CSCI,1153,W3,50061,INTRO TO COMPUTERS,,3,41,40,,,,"Thach, Caleb",On-Line
1,CSCI,1153,W4,50385,INTRO TO COMPUTERS,,3,35,35,,,,"John, Brittany",On-Line
1,CSCI,1301,1,47389,PRIN PROGRAM I,,4,35,30,03:30-04:45,T R,0320 COMPUTER TECHNOLOGY/MATHE,"Garcia, Fidel",Main Campus
1,CSCI,1301L,51,47430,PRIN PROGRAM I,,0,35,30,02:00-03:40,M,0320 COMPUTER TECHNOLOGY/MATHE,"Garcia, Fidel",Main Campus
1,CSCI,1302,1,47851,PRIN OF PROGRAM II,,4,9,30,10:00-10:50,M W F,0320 COMPUTER TECHNOLOGY/MATHE,"Thach, Caleb",Main Campus
1,CSCI,1302L,51,47852,PRIN OF PROGRAM II LAB,,0,9,30,02:00-03:40,F,0320 COMPUTER TECHNOLOGY/MATHE,"Thach, Caleb",Main Campus
1,CSCI,3110,1,50101,SECURITY SCRIPT PROGRAMMING,,3,15,30,12:30-01:45,T R,0320 COMPUTER TECHNOLOGY/MATHE,"Garcia, Fidel",Main Campus
1,CSCI,3150,W1,47280,DATA COMMUNICATIONS & NETWORKS,,3,15,30,,,,"Steele, Kendra",On-Line
1,CSCI,3333,1,47391,JAVA,,3,12,25,08:00-08:50,M W F,0321 COMPUTER TECHNOLOGY/MATHE,"al-Agha, Kaarim",Main Campus
1,CSCI,3351,1,47333,COMPUTER ORGAN/ASSEMBLY LANG,,3,20,30,12:00-12:50,M W F,0302 COMPUTER TECHNOLOGY/MATHE,"Manzanares, Alex",Main Campus
1,CSCI,3410,1,47516,DATA STRUCTURES,,3,25,30,01:00-01:50,M W F,0320 COMPUTER TECHNOLOGY/MATHE,"Thach, Caleb",Main Campus
1,CSCI,3900,1,49557,DATA SCI & MACHINE LEARNING,,3,9,25,03:30-04:45,T R,0319 COMPUTER TECHNOLOGY/MATHE,"Steele, Kendra",Main Campus
1,CSCI,4320,1,48598,SOFTWARE ENGINEERING,,3,22,30,05:00-06:15,T R,0319 COMPUTER TECHNOLOGY/MATHE,"Garcia, Fidel",Main Campus
1,CSCI,4999,1,49388,SPECIAL TOPICS IN CSCI/CSIS,,3,12,15,11:00-12:15,T R,0219 COMPUTER TECHNOLOGY/MATHE,"Smith, Courtney",Main Campus
1,CSIS,2000,1,48673,INTRO TO INFORMATION SECURITY,,3,10,25,12:30-01:45,T R,0319 COMPUTER TECHNOLOGY/MATHE,"Steele, Kendra",Main Campus
1,CSIS,3743,1,47864,WEB DEVELOPMENT,,3,16,30,10:00-10:50,M W F,0319 COMPUTER TECHNOLOGY/MATHE,"Manzanares, Alex",Main Campus
1,DATA,1501,1,50108,INTRODUCTION TO DATA SCIENCES,- No-cost:$0 required txtbk cost,3,3,35,03:00-04:45,T R,0218 COMPUTER TECHNOLOGY/MATHE,"el-Shaker, Fakeeha",Main Campus
1,ECON,2105,W1,49479,PRIN OF MACROECON,,3,35,30,,,,"al-Kazi, Haashid",On-Line
1,ECON,2105,WH,47411,PRIN OF MACROECON,,3,34,30,09:30-10:45,T R,0204 COMPUTER TECHNOLOGY/MATHE,"al-Kazi, Haashid",Main Campus
1,ECON,2106,W1,47262,PRINCIPLES OF MICROECONOMICS,,3,28,30,,,,"al-Kazi, Haashid",On-Line
1,ECON,2106,WH,49480,PRINCIPLES OF MICROECONOMICS,,3,27,30,02:00-03:15,T R,0303 COMPUTER TECHNOLOGY/MATHE,"al-Kazi, Haashid",Main Campus
1,ECON,3113,1,50471,INTERMEDIATE MACROECONOMICS,,3,16,30,05:30-08:15,R,COMPUTER TECHNOLOGY/MATHE,"Torres, Adam",Main Campus
1,ECSP,3000,W1,49874,EXPLORE OF LEARN/CREATIVE ART,,1,14,20,,,,"Flores, David",On-Line
1,ECSP,3020,1,50105,EFFECTIVE READ & WRIT METHODS,,3,5,25,12:30-01:45,M W,0106 HUBBARD EDUCATION,"Dunn, Colton",Main Campus
1,ECSP,3131,1,47532,NATURE & CURR NEEDS ECSP LEARN,,3,4,30,10:00-01:00,F,0110 HUBBARD EDUCATION,"Bridges-Farrow, Chelsea",Main Campus
1,ECSP,3132,1,47576,CLASS ROOM MNGT. STRATEGIES,,3,4,25,02:00-03:15,T R,0106 HUBBARD EDUCATION,"al-Iman, Tahiyya",Main Campus
1,ECSP,3332,1,48173,MTHDS TEACH LANG ARTS/READ,- No-cost:$0 required txtbk cost,3,12,25,05:30-08:30,M,0106 HUBBARD EDUCATION,"Villegas, Iris",Main Campus
1,ECSP,3432,1,48174,METHODS OF TEACH SOCIAL STUD,,3,10,25,05:30-08:30,R,0106 HUBBARD EDUCATION,"al-Salek, Manaara",Main Campus
1,ECSP,3731,1,48077,EARLY CHILDHOOD/SPEC ED PRACT.,- No-cost:$0 required txtbk cost,1,9,25,08:00-12:00,MTWRF,0106 HUBBARD EDUCATION,"Leo, Samuel",Main Campus
1,ECSP,4000,1,48902,CHAR LEARNERS WITH SPEC. NEEDS,,2,6,25,05:30-08:30,W,0108 HUBBARD EDUCATION,"Sandoval, Antonio",Main Campus
1,ECSP,4895,1,47567,DIRECTEDTEACHING/SEMINAR,- No-cost:$0 required txtbk cost,12,7,25,04:30-07:30,M W,0106 HUBBARD EDUCATION,"al-Iman, Tahiyya",Main Campus
1,ECSP,5424,W1,49899,DIVERSITY & DIFFERENTIATED IN,,3,6,15,05:50-08:50,R,0139 FVSU - Warner Robins Si,"Sandoval, Antonio",FVSU-Warner Robins Campus
1,ECSP,5426,WH1,50107,TRENDS & ISSUES IN MATH/ECE,,3,4,10,05:30-08:30,M,FVSU - Warner Robins Si,"Chau, Austin",Main Campus
1,ECSP,5427,70,49938,ETHICS AND THE LAW,,3,8,12,09:00-12:00,S,0151 FVSU - Warner Robins Si,"Sandoval, Antonio",FVSU-Warner Robins Campus
1,ECSP,5429,70,49610,FAMILY SUPPORT & INTERVENTION,,3,3,20,05:30-08:30,T,FVSU - Warner Robins Si,"al-Iman, Tahiyya",FVSU-Warner Robins Campus
1,EDMG,3131,1,49877,NATURE AND NEEDS IN MG,,3,4,15,02:00-05:00,F,0106 HUBBARD EDUCATION,"Bridges-Farrow, Chelsea",Main Campus
1,EDMG,3132,1,49878,CLASSROOM MANAGEMENT STRAT,,3,4,15,02:00-03:15,T R,0106 HUBBARD EDUCATION,"al-Iman, Tahiyya",Main Campus
1,EDMG,3232,W1,50484,MTHDS OF TEACH. SCI MG,,3,1,25,,,,"Lalau-Hitchcock, Diksha",Main Campus
1,EDMG,3332,1,48078,MTHDS. TEAC. LANG. ARTS/READMG,- No-cost:$0 required txtbk cost,3,9,20,05:30-08:30,M,0106 HUBBARD EDUCATION,"Villegas, Iris",Main Campus
1,EDMG,3432,1,48177,MTHDS TEACH. SOCIAL STUDIES,,3,8,20,05:30-08:30,R,0110 HUBBARD EDUCATION,"al-Salek, Manaara",Main Campus
1,EDMG,3731,1,48076,MIDDLE SCHOOL PRACTICUM I,- No-cost:$0 required txtbk cost,3,7,20,08:00-12:00,MTWRF,0106 HUBBARD EDUCATION,"Leo, Samuel",Main Campus
1,EDMG,3732,1,50090,MIDDLE SCHOOL PRACTICUM II,,3,3,20,08:00-12:00,MTWRF,HUBBARD EDUCATION,"Leo, Samuel",Main Campus
1,EDMG,4895,WH,47493,DIRECTED TEACHING/SEMINAR,- No-cost:$0 required txtbk cost,12,5,25,07:00-03:00,MTWRF,0110 HUBBARD EDUCATION,"Lalau-Hitchcock, Diksha",Main Campus
1,EDMG,5613,W1,50218,CURR NEEDS OF TRANS LEARNER,,3,2,20,,,,"al-Iman, Tahiyya",On-Line
1,EDSC,5993,W1,47538,SCHOOL COUNSELING INTERN II,- No-cost:$0 required txtbk cost,3,10,12,,,WEB/ D2L ONLINE,"Taherkhani, Vu",On-Line
1,EDSC,5993,W2,49861,SCHOOL COUNSELING INTERN II,,3,0,8,,,WEB/ D2L ONLINE,"Taherkhani, Vu",On-Line
1,EDSC,6123,W1,48403,DIAGNOSIS AND TREATMENT,,3,9,15,,,WEB/ D2L ONLINE,"Schmalz, Taylor",On-Line
1,EDUC,2110,1,49869,ISSUES IN EDUCATION,,3,45,40,05:30-08:30,W,0110 HUBBARD EDUCATION,"Simmons, Danita",Main Campus
1,EDUC,2110P,WH,49870,PRE PROFESSIONAL BLOCK PRAC.,- No-cost:$0 required txtbk cost,0,49,45,08:00-12:00,T R,0102 HUBBARD EDUCATION,"Villegas, Iris",Main Campus
1,EDUC,2120,1,49871,PERSPECTIVES ON DIVERSITY,,3,48,45,03:30-04:15,T R,0102 HUBBARD EDUCATION,"Halling, Amy",Main Campus
1,EDUC,2130,WH,49872,LEARN AND TEACH,,3,49,48,02:00-03:15,T R,0102 HUBBARD EDUCATION,"Lalau-Hitchcock, Diksha",Main Campus
1,EDUC,2503,1,49873,EXCEPTIONALITIES & INSTRUCTION,,3,29,30,05:30-08:30,M,0110 HUBBARD EDUCATION,"Sandoval, Antonio",Main Campus
1,EEGG,2114,1,48344,CIRCUITS II,,4,5,10,09:00-09:50,M W F,0302 COMPUTER TECHNOLOGY/MATHE,"Manzanares, Alex",Main Campus
1,EEGG,2114L,51,48345,CIRCUITS II - LAB,,0,2,10,04:00-05:40,R,0321 COMPUTER TECHNOLOGY/MATHE,"Manzanares, Alex",Main Campus
1,ELET,1211,1,47589,AC CIRCUIT ANALYSIS,,4,17,30,11:00-11:50,M W F,0124 ELLIS AG-MECH ACAD,"al-Gad, Fikriyya",Main Campus
1,ELET,1211%,51,47590,AC CIRCUIT LAB,,0,17,30,03:00-04:50,W,0124 ELLIS AG-MECH ACAD,"al-Gad, Fikriyya",Main Campus
1,ELET,2310,1,47398,ELECTRONIC DEVICES AND CIRCUIT,,4,15,30,10:00-10:50,M W F,0124 ELLIS AG-MECH ACAD,"al-Gad, Fikriyya",Main Campus
1,ELET,2310L,51,47438,ELECT DEVICES A-LAB,,0,15,30,03:00-04:50,M,0124 ELLIS AG-MECH ACAD,"al-Gad, Fikriyya",Main Campus
1,ELET,2500,1,48331,PRIN OF DIGITAL SYSTEMS,,3,20,20,01:00-01:50,M W F,0124 ELLIS AG-MECH ACAD,"el-Tabatabai, Hibbaan",Main Campus
1,ELET,4500,1,49700,COMPUTER SYSTEMS,,3,8,20,11:00-11:50,M W,0125 ELLIS AG-MECH ACAD,"el-Tabatabai, Hibbaan",Main Campus
1,ELET,4500L,51,49701,COMPUTER SYSTEMS LAB,,0,8,20,03:00-04:50,M,0213 TABOR AGR ACAD,"el-Tabatabai, Hibbaan",Main Campus
1,ELET,4501,1,48333,MICROPROCESSOR APPLICATION,,3,10,20,10:00-10:50,M W,0125 ELLIS AG-MECH ACAD,"el-Tabatabai, Hibbaan",Main Campus
1,ELET,4501L,51,48334,MICROPROCESSOR APPL. LAB,,0,10,20,03:00-04:50,W,0213 TABOR AGR ACAD,"el-Tabatabai, Hibbaan",Main Campus
1,ELET,4502,1,50446,MACHINE LEARNING FOR ROBOTICS,,4,5,20,12:00-12:50,M W F,0125 ELLIS AG-MECH ACAD,"el-Tabatabai, Hibbaan",Main Campus
1,ELET,4502L,51,50447,MACHINE LEARN FOR ROBOTICS LAB,,0,5,20,03:00-04:50,F,0125 BYWATERS ACADEMIC,"el-Tabatabai, Hibbaan",Main Campus
1,ELET,4510,1,47842,INDUSTRIAL ELECTRONICS CONTROL,,3,8,20,01:00-01:50,M W,0102 ELLIS AG-MECH ACAD,"al-Gad, Fikriyya",Main Campus
1,ELET,4510L,51,47843,INDUSTRIAL ELECTRONICS CONTROL,,0,8,20,01:00-02:50,T,0124 ELLIS AG-MECH ACAD,"al-Gad, Fikriyya",Main Campus
1,ELET,4901,1,47927,SPECIAL TOPICS AND PROJECTS,,1,6,20,03:00-04:50,T,0102 ELLIS AG-MECH ACAD,"al-Gad, Fikriyya",Main Campus
1,ENGG,2133,1,48346,ENGINEERING MECHANICS II,,3,5,10,03:00-03:50,M W F,0303 COMPUTER TECHNOLOGY/MATHE,"Manzanares, Alex",Main Campus
1,ENGL,999,W1,48782,SUPPORT FOR ENGLISH,- No-cost:$0 required txtbk cost,2,15,35,,,,"Allen, Kerrian",On-Line
1,ENGL,1101,1,49673,COMPOSITION I,- No-cost:$0 required txtbk cost,3,23,30,09:00-09:50,M W F,0205 MILLER HALL,"Martinez, Sarah",Main Campus
1,ENGL,1101,2,47800,COMPOSITION I,- $40 or under req txtbks cost,3,29,30,11:00-11:50,M W F,0205 MILLER HALL,"Martinez, Sarah",Main Campus
1,ENGL,1101,3,50093,COMPOSITION I,- No-cost:$0 required txtbk cost,3,26,30,01:00-01:50,M W F,0205 MILLER HALL,"Martinez, Sarah",Main Campus
1,ENGL,1101,4,49231,COMPOSITION I,- No-cost:$0 required txtbk cost,3,29,30,02:00-02:50,M W F,0205 MILLER HALL,"Martinez, Sarah",Main Campus
1,ENGL,1101,5,50287,COMPOSITION I,- No-cost:$0 required txtbk cost,3,19,30,03:00-03:50,M W F,0205 MILLER HALL,"Martinez, Sarah",Main Campus
1,ENGL,1101,6,49674,COMPOSITION I,- No-cost:$0 required txtbk cost,3,17,35,08:00-09:15,T R,0212 MILLER HALL,"Allen, Kerrian",Main Campus
1,ENGL,1101,7,49763,COMPOSITION I,- No-cost:$0 required txtbk cost,3,36,35,09:30-10:45,T R,0212 MILLER HALL,"Allen, Kerrian",Main Campus
1,ENGL,1101,8,49765,COMPOSITION I,- No-cost:$0 required txtbk cost,3,26,35,12:30-01:45,T R,0212 MILLER HALL,"Allen, Kerrian",Main Campus
1,ENGL,1101,9,49767,COMPOSITION I,- No-cost:$0 required txtbk cost,3,18,35,02:00-03:15,T R,0212 MILLER HALL,"Allen, Kerrian",Main Campus
1,ENGL,1101,11,50361,COMPOSITION I,- No-cost:$0 required txtbk cost,3,17,30,09:30-10:45,T R,0205 MILLER HALL,"Hand, Dallas",Main Campus
1,ENGL,1101,12,50362,COMPOSITION I,- No-cost:$0 required txtbk cost,3,11,30,12:30-01:45,T R,0205 MILLER HALL,"Hand, Dallas",Main Campus
1,ENGL,1101,13,50363,COMPOSITION I,- No-cost:$0 required txtbk cost,3,15,30,02:00-03:15,T R,0205 MILLER HALL,"Hand, Dallas",Main Campus
1,ENGL,1102,1,48590,COMPOSITION II,- $40 or under req txtbks cost,3,37,35,09:00-09:50,M W F,0207 MILLER HALL,"Cross, Jon",Main Campus
1,ENGL,1102,2,48591,COMPOSITION II,- $40 or under req txtbks cost,3,36,35,10:00-10:50,M W F,0207 MILLER HALL,"Cross, Jon",Main Campus
1,ENGL,1102,3,48789,COMPOSITION II,- $40 or under req txtbks cost,3,30,35,02:00-02:50,M W F,0207 MILLER HALL,"Cross, Jon",Main Campus
1,ENGL,1102,4,49766,COMPOSITION II,- No-cost:$0 required txtbk cost,3,32,35,03:00-03:50,M W F,0207 MILLER HALL,"Cross, Jon",Main Campus
1,ENGL,1102,5,49768,COMPOSITION II,- No-cost:$0 required txtbk cost,3,26,35,08:00-08:50,M W F,0204 MILLER HALL,"Brown, Triayna",Main Campus
1,ENGL,1102,6,47265,COMPOSITION II,- $40 or under req txtbks cost,3,25,35,11:00-11:50,M W F,0204 MILLER HALL,"Brown, Triayna",Main Campus
1,ENGL,1102,7,49550,COMPOSITION II,- No-cost:$0 required txtbk cost,3,30,35,12:00-12:50,M W F,0204 MILLER HALL,"Brown, Triayna",Main Campus
1,ENGL,1102,8,49551,COMPOSITION II,- No-cost:$0 required txtbk cost,3,30,35,01:00-01:50,M W F,0204 MILLER HALL,"Brown, Triayna",Main Campus
1,ENGL,1102,9,50365,COMPOSITION II,- No-cost:$0 required txtbk cost,3,29,35,02:00-02:50,M W F,0204 MILLER HALL,"Brown, Triayna",Main Campus
1,ENGL,1102,10,50367,COMPOSITION II,- No-cost:$0 required txtbk cost,3,20,35,08:00-09:15,T R,0104 MILLER HALL,"al-Mirza, Mahmood",Main Campus
1,ENGL,1102,11,50368,COMPOSITION II,- No-cost:$0 required txtbk cost,3,28,35,09:30-10:45,T R,0104 MILLER HALL,"al-Mirza, Mahmood",Main Campus
1,ENGL,1102,12,50369,COMPOSITION II,- No-cost:$0 required txtbk cost,3,28,35,12:30-01:45,T R,0104 MILLER HALL,"al-Mirza, Mahmood",Main Campus
1,ENGL,1102H,WH1,50370,HONORS COMPOSITION II,,3,10,25,03:30-04:45,T R,0104 MILLER HALL,"al-Mirza, Mahmood",Main Campus
1,ENGL,2111,WH1,50466,WORLD LITERATURE,- No-cost:$0 required txtbk cost,3,43,35,02:00-03:15,T R,0104 MILLER HALL,"al-Mirza, Mahmood",Main Campus
1,ENGL,3343,W1,49875,CONTEMPORARY AMERICAN LITERATU,,3,5,15,,,,"Villegas, Iris",On-Line
1,ENGL,3500,W1,50193,GRAMMAR FOR TEACH & WRITERS,,3,6,20,,,,"al-Mirza, Mahmood",On-Line
1,ENGL,4520,W1,49876,LIT. FOR THE MIDDLE GRADES,,3,5,15,,,,"Villegas, Iris",On-Line
1,ENGL,5023,W1,49906,PRE-ADOLESCENT LITERATURE,,3,4,20,,,,"Nelson, Alexander",On-Line
1,EPSY,5513,W1,49261,PRE-ADOLESCENT PSYCHOLOGY,,3,6,20,,,,"al-Iman, Tahiyya",On-Line
1,FCSC,2833,W1,47324,CONSUMER ECONOMICS,,3,15,35,,,,"Mccormick, Jeremy",On-Line
1,FCSC,3872,W1,49335,COMM INVOLVEMNT & VOL,,2,11,25,,,,"Thortvedt, Kevin",Main Campus
1,FCSC,3903,1,50509,SUPERVISED FIELD EXPERIENCE,- No-cost:$0 required txtbk cost,1,3,2,09:00-12:00,S,0108 MYERS HOME EC,"Cheng, Lucy",Main Campus
1,FCSC,3913,1,47659,HOSPITALITY & HOME MANAGEME,,3,5,12,05:30-09:30,T R,HOME-EC MNGT HOUSE,"Thortvedt, Kevin",Main Campus
1,FDNU,3803,W1,49568,UNDERSTANDING NUTRITION,,3,6,20,,,,"Gilbert, Sonja",On-Line
